HORA: Tue Nov 05 16:19:17 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:26 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:26 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:26 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:35 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:35 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:36 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:45 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:45 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:45 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:53 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:53 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:54 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:58 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:58 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:19:58 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:20:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:20:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:20:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:25:35 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:53:23 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:53:23 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:53:23 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:53:23 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:55:05 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:55:05 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:55:06 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:55:06 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:56:02 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:56:02 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:56:02 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:56:02 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 16:59:03 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:01:40 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:01:40 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:09:27 GMT-03:00 2019 | ERRO: java.lang.NumberFormatException: empty String
HORA: Tue Nov 05 17:10:05 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:10:05 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:10:53 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:12:09 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:12:09 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:12:43 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:12:43 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:12:43 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:14:40 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:14:40 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:14:40 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:15:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:15:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:15:08 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:15:17 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:15:17 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:15:17 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:18:18 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:21:58 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:21:58 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:21:58 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 17:21:58 GMT-03:00 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:34:56 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:34:59 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:35:02 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:35:05 BRST 2019 | ERRO: javax.persistence.EntityNotFoundException: Unable to find entidade.Faces with id 5
HORA: Tue Nov 05 22:35:08 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:35:11 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:35:27 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:36:12 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:36:32 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:37:18 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:37:21 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:37:23 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:47:52 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:48:05 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:48:52 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:49:04 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:49:13 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:49:33 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:49:47 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:49:53 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:50:20 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:50:20 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:50:52 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:50:52 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:00 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:00 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:01 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:05 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:05 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:06 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:11 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:11 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:12 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:26 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:26 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:32 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:33 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:33 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 22:51:33 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 05 23:01:57 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:02:25 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:50:13 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:50:13 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:50:19 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:50:19 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:50:20 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:50:24 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Thu Nov 07 00:50:24 BRST 2019 | ERRO: java.lang.NullPointerException
HORA: Tue Nov 12 22:42:23 BRST 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.PropertyValueException: not-null property references a null or transient value : entidade.Projetos.situacao
HORA: Tue Nov 12 22:44:42 BRST 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.exception.ConstraintViolationException: could not execute statement
HORA: Tue Nov 12 22:49:08 BRST 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.exception.ConstraintViolationException: could not execute statement
HORA: Tue Nov 12 22:50:19 BRST 2019 | ERRO: org.hibernate.exception.SQLGrammarException: could not extract ResultSet
HORA: Tue Nov 12 22:51:40 BRST 2019 | ERRO: javax.persistence.PersistenceException: org.hibernate.exception.ConstraintViolationException: could not execute statement
